# Сценарий 7: Пропадание питания 28В на 10 секунд
# Ожидание: при t=80с датчики обнуляются, CU переходит в FAULT_CU,
# активный канал переключается на резервный (если A был активен).
# После восстановления питания и сброса система возвращается в NORMAL.

0.0,pwr_28v,1
0.0,pwr_115v,1
0.0,apu_avail,1
0.0,engine_running,0
0.0,eng_bleed_pressure,2.8
0.0,eng_bleed_temp,190.0
0.0,ram_air_temp,20.0
0.0,ram_air_pressure,1.013
0.0,pack_switch,0
0.0,cabin_temp_setpoint,22.0
0.0,cabin_temp_initial,10.0

17.0,pack_switch,1
# Даём системе выйти в NORMAL (примерно 100 с)

# Отказ питания 28В
267.0,pwr_28v,0
# Датчики показывают 0В, КУ обнаруживает отказ

# Восстанавливаем питание
300.0,pwr_28v,1
# Сброс системы
303.0,reset_cmd,1
307.0,reset_cmd,0

# Проверяем, что всё вернулось в норму
500.0,cabin_temp_setpoint,24.0
833.0,pack_switch,0
