# Сценарий 8: Ступенчатые изменения уставки температуры
# Идеальные условия (полёт на крейсере). Проверка ПИД-регулятора.
# Ожидание: температура кабины должна плавно дойти до новой уставки,
# без значительных колебаний (перерегулирование < 2°C).

0.0,pwr_28v,1
0.0,pwr_115v,1
0.0,apu_avail,0
0.0,engine_running,1
0.0,eng_bleed_pressure,3.0
0.0,eng_bleed_temp,200.0
0.0,ram_air_temp,-50.0
0.0,ram_air_pressure,0.265
0.0,pack_switch,1
0.0,cabin_temp_setpoint,22.0
0.0,cabin_temp_initial,5.0
0.0,cabin_press_setpoint,0.753

# Стабилизируем на 22°C (30 сек)

# Ступень вверх: 22 → 28°C
400.0,cabin_temp_setpoint,28.0

# Ступень вниз: 28 → 18°C
600.0,cabin_temp_setpoint,18.0

# Ступень обратно: 18 → 24°C
800.0,cabin_temp_setpoint,24.0

# Выключение
999.0,pack_switch,0
